score_id	set_id	difficulty	tags
6518141	5104071	2	american,art-song,classical,late-romantic,romantic,song-cycle,spiritual,piano
6471377	5104071	2	american,art-song,classical,late-romantic,romantic,song-cycle,spiritual,piano
6471199	5104071	1	american,art-song,classical,late-romantic,romantic,song-cycle,spiritual,piano
6469541	5103552	2	art-song,british,classical,early-modern,love,piano
6214840	5103550	1	art-song,british,classical,early-modern,song-cycle,piano
6214844	5103550	1	art-song,british,classical,early-modern,song-cycle,piano
6214845	5103550	1	art-song,british,classical,early-modern,song-cycle,piano
6214846	5103550	2	art-song,british,classical,early-modern,song-cycle,piano
6214847	5103550	1	art-song,british,classical,early-modern,song-cycle,piano
6214848	5103550	1	art-song,british,classical,early-modern,song-cycle,piano
6377942	5103551	1	art-song,british,classical,early-modern,song-cycle,piano
6378337	5103551	1	art-song,british,classical,early-modern,song-cycle,piano
6378373	5103551	1	art-song,british,classical,early-modern,song-cycle,piano
6379527	5103551	2	art-song,british,classical,early-modern,seasons,song-cycle,piano
6379750	5103551	1	art-song,british,classical,early-modern,love,song-cycle,piano
6480111	5105983	2	art-song,british,classical,romantic,piano
6587611	5100086	2	art-song,classical,french,romantic,piano
6497657	5100086	2	art-song,classical,french,romantic,piano
5077917	5100086	2	art-song,classical,french,romantic,piano
6260992	5097140	1	art-song,classical,female-composer,french,late-romantic,romantic,piano
6261036	5097140	1	art-song,classical,female-composer,french,late-romantic,romantic,piano
4999292	5097140	2	art-song,classical,female-composer,french,late-romantic,romantic,piano
4999304	5097140	2	art-song,classical,female-composer,french,late-romantic,love,romantic,seasons,piano
6261607	5097140	2	art-song,classical,female-composer,french,late-romantic,romantic,piano
6262515	5097140	2	art-song,classical,female-composer,french,late-romantic,romantic,piano
4999309	5097140	2	art-song,classical,female-composer,french,late-romantic,romantic,piano
6262544	5097140	2	art-song,classical,female-composer,french,late-romantic,romantic,piano
6264558	5097140	1	art-song,classical,female-composer,french,late-romantic,night,romantic,piano
6264559	5097140	1	art-song,classical,female-composer,french,late-romantic,lullaby,romantic,piano
6264560	5097140	1	art-song,classical,female-composer,french,late-romantic,romantic,piano
6264562	5097140	1	art-song,classical,female-composer,french,late-romantic,romantic,piano
6415075	5097140	2	art-song,classical,female-composer,french,late-romantic,romantic,piano
6312216	5097140	2	art-song,classical,female-composer,french,late-romantic,romantic,piano
6293357	5097140	2	art-song,classical,female-composer,french,late-romantic,romantic,piano
4999324	5097140	2	art-song,classical,female-composer,french,late-romantic,romantic,piano
5001810	5097140	2	art-song,classical,female-composer,french,late-romantic,nature,romantic,piano
4999590	5097140	3	art-song,classical,female-composer,french,late-romantic,romantic,piano
6260946	5097140	1	art-song,classical,female-composer,french,late-romantic,romantic,piano
6263726	5097140	2	art-song,classical,female-composer,french,late-romantic,love,romantic,piano
5987667	5097140	2	art-song,classical,female-composer,french,late-romantic,romantic,seasons,piano
4999332	5097140	2	art-song,classical,female-composer,french,late-romantic,romantic,piano
4999581	5097140	1	art-song,classical,female-composer,french,late-romantic,romantic,piano,war-and-patriotic
4999602	5097140	2	art-song,classical,dreams,female-composer,french,late-romantic,romantic,piano
5001820	5097140	2	art-song,classical,female-composer,french,late-romantic,romantic,piano
4999607	5097140	3	art-song,classical,female-composer,french,late-romantic,love,romantic,piano
5000336	5097140	2	art-song,classical,dreams,female-composer,french,late-romantic,night,romantic,piano
5000341	5097140	2	art-song,classical,female-composer,french,late-romantic,romantic,piano
5000347	5097140	2	art-song,classical,female-composer,french,late-romantic,romantic,piano
5004771	5097140	2	art-song,classical,female-composer,french,late-romantic,romantic,piano
5000363	5097140	1	art-song,classical,female-composer,french,late-romantic,romantic,piano
5077645	5077648	3	art-song,classical,french,late-romantic,romantic,song-cycle,piano
5077651	5077648	1	art-song,classical,french,late-romantic,romantic,song-cycle,piano
5077660	5077648	3	art-song,classical,french,late-romantic,romantic,song-cycle,piano
5077675	5077648	1	art-song,classical,french,late-romantic,romantic,song-cycle,piano
5920728	5077648	3	art-song,classical,french,late-romantic,romantic,serenade,song-cycle,piano
5161599	5077648	1	art-song,classical,french,late-romantic,romantic,song-cycle,piano
5077780	5077648	2	art-song,classical,french,late-romantic,romantic,song-cycle,piano
5057840	5057842	3	art-song,classical,french,late-romantic,romantic,song-cycle,piano
5057844	5057842	1	art-song,classical,french,late-romantic,romantic,song-cycle,piano
5057847	5057842	2	art-song,classical,french,late-romantic,romantic,song-cycle,piano
5057851	5057842	3	art-song,classical,french,late-romantic,romantic,song-cycle,piano
5057849	5057842	2	art-song,classical,french,late-romantic,romantic,song-cycle,piano
6232117	5103493	1	art-song,british,classical,late-romantic,romantic,seasons,piano
6548435	5103493	2	art-song,british,classical,late-romantic,romantic,piano
6189652	5103497	2	art-song,british,classical,late-romantic,romantic,sea-and-water,song-cycle,piano
6189644	5103497	1	art-song,british,classical,late-romantic,mourning,romantic,song-cycle,piano
6189637	5103497	2	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6189628	5103497	2	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6189622	5103497	2	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6189616	5103497	2	art-song,british,classical,late-romantic,love,romantic,song-cycle,piano
6480349	5105986	1	art-song,british,classical,late-romantic,romantic,piano
5054931	5054958	2	art-song,classical,german,romantic,song-cycle,piano
5054941	5054958	2	art-song,classical,german,romantic,song-cycle,piano
5054946	5054958	2	art-song,classical,german,lullaby,romantic,song-cycle,piano
5054953	5054958	1	art-song,classical,german,romantic,song-cycle,piano
5054957	5054958	1	art-song,classical,german,romantic,song-cycle,piano
5124429	5054958	1	art-song,classical,german,romantic,song-cycle,piano
5051346	5051360	1	art-song,classical,german,romantic,song-cycle,piano
5051349	5051360	2	art-song,classical,german,romantic,song-cycle,piano
5051353	5051360	2	art-song,classical,german,romantic,song-cycle,piano
5051357	5051360	2	art-song,classical,german,romantic,song-cycle,piano
5051358	5051360	1	art-song,classical,german,romantic,song-cycle,piano
5051359	5051360	3	art-song,classical,german,romantic,song-cycle,piano
5062156	5062162	1	art-song,classical,german,romantic,song-cycle,piano
5062158	5062162	1	art-song,classical,german,romantic,song-cycle,piano
5062159	5062162	1	art-song,classical,german,romantic,song-cycle,piano
5820797	5062162	2	art-song,classical,german,romantic,song-cycle,piano
5062136	5062145	3	art-song,classical,german,romantic,song-cycle,piano
5062139	5062145	3	art-song,classical,german,romantic,song-cycle,piano
5062141	5062145	1	art-song,classical,german,romantic,song-cycle,piano
5043594	5043619	1	art-song,classical,german,mourning,romantic,song-cycle,piano
5043586	5043619	1	art-song,classical,german,mourning,romantic,song-cycle,piano
5045654	5043619	1	art-song,classical,german,mourning,romantic,song-cycle,piano
5043569	5043619	1	art-song,classical,dreams,german,mourning,romantic,song-cycle,piano
5043613	5043619	2	art-song,classical,german,mourning,romantic,song-cycle,piano
